epoch,accuracy,loss,val_accuracy,val_loss
0,0.7754999995231628,0.577799379825592,0.8912500143051147,0.28302133083343506
1,0.8610000014305115,0.3234260678291321,0.7724999785423279,0.6570753455162048
2,0.8824999928474426,0.28110629320144653,0.8737499713897705,0.29317301511764526
3,0.9114999771118164,0.23711761832237244,0.9037500023841858,0.24726378917694092
4,0.9114999771118164,0.21722348034381866,0.9075000286102295,0.2728230953216553
5,0.9315000176429749,0.18543122708797455,0.9049999713897705,0.2913356125354767
6,0.9415000081062317,0.1798125058412552,0.8799999952316284,0.3570665121078491
7,0.9384999871253967,0.18022704124450684,0.893750011920929,0.33556613326072693
8,0.9490000009536743,0.1418684422969818,0.8962500095367432,0.328939825296402
9,0.9539999961853027,0.1268867403268814,0.8287500143051147,0.6956462860107422
